FunctionalGroupIndex,LowerBodyMassBin,UpperBodyMassBin,TotalAbundance,TotalBiomass_kg
0,0.0001,0.001,0,0
0,0.001,0.01,0,0
0,0.01,0.1,2.72984e+08,1.56226e+06
0,0.1,1,6.65653e+09,3.61605e+07
0,1,10,7.54937e+09,5.76808e+08
0,10,100,2.72163e+09,2.3027e+09
0,100,1000,1.51826e+08,6.06142e+08
0,1000,10000,154803,6.14166e+07
1,0.0001,0.001,0,0
1,0.001,0.01,0,0
1,0.01,0.1,0,0
1,0.1,1,0,0
1,1,10,2.6807e+06,3.08923e+06
1,10,100,6.18418e+07,1.34489e+08
1,100,1000,0,0
1,1000,10000,0,0
2,0.0001,0.001,0,0
2,0.001,0.01,0,0
2,0.01,0.1,1.70228e+06,188015
2,0.1,1,3.35828e+08,1.18632e+07
2,1,10,9.42259e+08,1.39688e+08
2,10,100,7.58015e+08,8.05698e+08
2,100,1000,339371,876267
2,1000,10000,0,0
3,0.0001,0.001,0,0
3,0.001,0.01,9.56512e+09,4.03521e+06
3,0.01,0.1,9.12114e+09,3.08655e+07
3,0.1,1,3.26791e+07,2.65693e+06
3,1,10,0,0
3,10,100,0,0
3,100,1000,0,0
3,1000,10000,0,0
4,0.0001,0.001,0,0
4,0.001,0.01,0,0
4,0.01,0.1,5.06902e+07,665510
4,0.1,1,1.62501e+08,2.76021e+06
4,1,10,5.89667e+06,743456
4,10,100,0,0
4,100,1000,0,0
4,1000,10000,0,0
5,0.0001,0.001,0,0
5,0.001,0.01,4.52957e+08,563593
5,0.01,0.1,4.52896e+09,7.7925e+06
5,0.1,1,7.73241e+08,6.23093e+06
5,1,10,816861,1.00795e+06
5,10,100,0,0
5,100,1000,0,0
5,1000,10000,0,0
6,0.0001,0.001,0,0
6,0.001,0.01,0,0
6,0.01,0.1,6.37495e+09,4.38071e+07
6,0.1,1,6.52331e+09,1.58845e+08
6,1,10,1.11341e+09,1.66978e+08
6,10,100,2.22944e+07,3.07378e+07
6,100,1000,0,0
6,1000,10000,0,0
7,0.0001,0.001,0,0
7,0.001,0.01,0,0
7,0.01,0.1,2.70467e+08,4.48307e+06
7,0.1,1,6.92509e+08,4.82668e+07
7,1,10,1.21903e+09,1.96209e+08
7,10,100,1.69294e+08,2.28409e+08
7,100,1000,1.62869e+06,7.40947e+06
7,1000,10000,0,0
8,0.0001,0.001,0,0
8,0.001,0.01,0,0
8,0.01,0.1,4.88694e+09,2.86151e+07
8,0.1,1,3.88784e+09,1.0536e+08
8,1,10,4.33342e+08,8.0733e+07
8,10,100,2.00709e+06,7.85603e+06
8,100,1000,0,0
8,1000,10000,0,0
